1	0.09300
1.05	0.08940
1.1	0.08480
1.15	0.08240
1.2	0.07990
1.25	0.07770
1.3	0.07640
1.35	0.07340
1.4	0.07040
1.45	0.06760
1.5	0.06760
1.55	0.06690
1.6	0.06700
1.65	0.06670
1.7	0.06670
1.75	0.06790
1.8	0.06890
1.85	0.07130
1.9	0.07350
1.95	0.07470
2	0.07560
2.05	0.07660
2.1	0.07750
2.15	0.07840
2.2	0.08010
2.25	0.07890
2.3	0.07720
2.35	0.07980
2.4	0.08140
2.45	0.08000
2.5	0.07960
2.55	0.08080
2.6	0.08280
2.65	0.08490
2.7	0.08660
2.75	0.08630
2.8	0.08360
2.85	0.07950
2.9	0.07750
2.95	0.07680
3	0.07660
3.05	0.07520
3.1	0.07570
3.15	0.07580
3.2	0.07370
3.25	0.07340
3.3	0.07430
3.35	0.07370
3.4	0.07400
3.45	0.07360
3.5	0.07110
3.55	0.06870
3.6	0.06990
3.65	0.07220
3.7	0.07420
3.75	0.07480
3.8	0.07390
3.85	0.07200
3.9	0.07080
3.95	0.07190
4	0.07400
4.05	0.07550
4.1	0.07670
4.15	0.07700
4.2	0.07640
4.25	0.07460
4.3	0.07040
4.35	0.06560
4.4	0.06490
4.45	0.06790
4.5	0.07140
4.55	0.07490
4.6	0.07660
4.65	0.07490
4.7	0.07250
4.75	0.07130
4.8	0.07080
4.85	0.07090
4.9	0.07200
4.95	0.07430
5	0.07730
5.05	0.07970
5.1	0.08130
5.15	0.08110
5.2	0.07970
5.25	0.07900
5.3	0.07870
5.35	0.07790
5.4	0.07620
5.45	0.07480
5.5	0.07470
5.55	0.07490
5.6	0.07430
5.65	0.07340
5.7	0.07190
5.75	0.06970
5.8	0.06790
5.85	0.06610
5.9	0.06420
5.95	0.06210
6	0.06120
6.05	0.06260
6.1	0.06500
6.15	0.06820
6.2	0.07210
6.25	0.07470
6.3	0.07650
6.35	0.07720
6.4	0.07750
6.45	0.07840
6.5	0.07840
6.55	0.07810
6.6	0.07800
6.65	0.07820
6.7	0.07740
6.75	0.07660
6.8	0.07510
6.85	0.07460
6.9	0.07470
6.95	0.07600
7	0.07800
7.05	0.07870
7.1	0.07800
7.15	0.07640
7.2	0.07390
7.25	0.07180
7.3	0.07030
7.35	0.06950
7.4	0.06920
7.45	0.06990
7.5	0.07100
7.55	0.07270
7.6	0.07390
7.65	0.07440
7.7	0.07510
7.75	0.07590
7.8	0.07670
7.85	0.07690
7.9	0.07680
7.95	0.07650
8	0.07600
8.05	0.07540
8.1	0.07440
8.15	0.07300
8.2	0.07140
8.25	0.06970
8.3	0.06850
8.35	0.06710
8.4	0.06670
8.45	0.06660
8.5	0.06830
8.55	0.07030
8.6	0.07230
8.65	0.07410
8.7	0.07550
8.75	0.07660
8.8	0.07730
8.85	0.07760
8.9	0.07820
8.95	0.07820
9	0.07770
9.05	0.07660
9.1	0.07460
9.15	0.07310
9.2	0.07180
9.25	0.07200
9.3	0.07250
9.35	0.07330
9.4	0.07340
9.45	0.07370
9.5	0.07410
9.55	0.07380
9.6	0.07350
9.65	0.07330
9.7	0.07340
9.75	0.07400
9.8	0.07430
9.85	0.07540
9.9	0.07680
9.95	0.07780
10	0.07910
10.05	0.08000
10.1	0.08040
10.15	0.08060
10.2	0.08050
10.25	0.08010
10.3	0.07970
10.35	0.07920
10.4	0.07900
10.45	0.07900
10.5	0.07830
10.55	0.07810
10.6	0.07790
10.65	0.07730
10.7	0.07630
10.75	0.07550
10.8	0.07560
10.85	0.07610
10.9	0.07560
10.95	0.07530
11	0.07520
11.05	0.07480
11.1	0.07410
11.15	0.07330
11.2	0.07250
11.25	0.07230
11.3	0.07230
11.35	0.07230
11.4	0.07270
11.45	0.07280
11.5	0.07280
11.55	0.07310
11.6	0.07330
11.65	0.07340
11.7	0.07340
11.75	0.07330
11.8	0.07300
11.85	0.07300
11.9	0.07350
11.95	0.07440
12	0.07520
12.05	0.07640
12.1	0.07730
12.15	0.07760
12.2	0.07770
12.25	0.07770
12.3	0.07730
12.35	0.07760
12.4	0.07820
12.45	0.07830
12.5	0.07830
12.55	0.07830
12.6	0.07780
12.65	0.07720
12.7	0.07690
12.75	0.07620
12.8	0.07530
12.85	0.07470
12.9	0.07410
12.95	0.07360
13	0.07360
13.05	0.07330
13.1	0.07280
13.15	0.07260
13.2	0.07240
13.25	0.07270
13.3	0.07280
13.35	0.07310
13.4	0.07370
13.45	0.07430
13.5	0.07470
13.55	0.07470
13.6	0.07500
13.65	0.07540
13.7	0.07580
13.75	0.07590
13.8	0.07570
13.85	0.07590
13.9	0.07510
13.95	0.07460
14	0.07460
14.05	0.07430
14.1	0.07400
14.15	0.07420
14.2	0.07380
14.25	0.07320
14.3	0.07260
14.35	0.07220
14.4	0.07230
14.45	0.07280
14.5	0.07280
14.55	0.07250
14.6	0.07320
14.65	0.07420
14.7	0.07440
14.75	0.07560
14.8	0.07610
14.85	0.07680
14.9	0.07630
14.95	0.07680
15	0.07710
15.05	0.07700
15.1	0.07770
15.15	0.07670
15.2	0.07530
15.25	0.07520
15.3	0.07530
15.35	0.07500
15.4	0.07450
15.45	0.07450
15.5	0.07450
15.55	0.07490
15.6	0.07590
15.65	0.07630
15.7	0.07600
15.75	0.07640
15.8	0.07710
15.85	0.07660
15.9	0.07620
15.95	0.07630
16	0.07600
16.05	0.07620
16.1	0.07650
16.15	0.07710
16.2	0.07770
16.25	0.07560
16.3	0.07500
16.35	0.07530
16.4	0.07540
16.45	0.07650
16.5	0.07670
16.55	0.07640
16.6	0.07590
16.65	0.07630
16.7	0.07680
16.75	0.07660
16.8	0.07430
16.85	0.07470
16.9	0.07560
16.95	0.07520
17	0.07530
17.05	0.07590
17.1	0.07600
17.15	0.07610
17.2	0.07700
17.25	0.07620
17.3	0.07540
17.35	0.07590
17.4	0.07640
17.45	0.07710
17.5	0.07630
17.55	0.07670
17.6	0.07810
17.65	0.07790
17.7	0.07650
17.75	0.07660
17.8	0.07660
17.85	0.07690
17.9	0.07680
17.95	0.07680
18	0.07760
18.05	0.07740
18.1	0.07820
18.15	0.07940
18.2	0.07830
18.25	0.07780
18.3	0.07720
18.35	0.07660
18.4	0.07680
18.45	0.07710
18.5	0.07700
18.55	0.07680
18.6	0.07680
18.65	0.07680
18.7	0.07680
18.75	0.07740
18.8	0.07720
18.85	0.07670
18.9	0.07740
18.95	0.07730
19	0.07680
19.05	0.07700
19.1	0.07670
19.15	0.07600
19.2	0.07540
19.25	0.07580
19.3	0.07620
19.35	0.07560
19.4	0.07430
19.45	0.07450
19.5	0.07480
19.55	0.07470
19.6	0.07420
19.65	0.07430
19.7	0.07470
19.75	0.07460
19.8	0.07510
19.85	0.07530
19.9	0.07500
19.95	0.07460
20	0.07430
